爱|ài|yêu / yêu
吧|ba|từ cuối (dùng để xác nhận, yêu cầu)
八|bā|tám
爸爸/爸|bàba/bà|bố
百|bǎi|trăm
半|bàn|một nửa
本|běn|Bộ phân loại dành cho sách, tạp chí, hồ sơ, v.v.
不|bù|không
茶|chá|trà
车子/车|chēzi/chē|車 [chē] ô tô/xe/CL:輛|辆[liang4]/máy/tạo hình bằng máy tiện/căn Kangxi 159<br> 車子 [chēzi] ô tô hoặc phương tiện khác (xe đạp, xe tải, v.v.)<br> 車 [jū] chiến xa (cổ xưa)/xe (trong cờ vua)/xe (trong cờ vua)<br> 車[Chē] họ Chế
吃|chī|ăn, có (thức ăn)
吃饭|chīfàn|ăn, dùng bữa / ăn cơm
打|dǎ|Chơi (bóng chày, bóng rổ, bowling, trò chơi điện tử, trò chơi di động, v.v.) / Gọi / Đánh, húc
大|dà|lớn, to / cũ
大家|dàjiā|mọi người, mọi người
大学|dàxué|trường đại học
带|dài|mang đến, lấy đi / dẫn dắt
到|dào|đến / tới
的|de|dấu hiệu sở hữu / dấu hiệu sửa đổi
点|diǎn|giờ / để đặt hàng
电话|diànhuà|điện thoại, điện thoại
弟弟/弟|dìdi/dì|em trai
东西|dōngxi|đồ vật, đồ đạc
都|dōu|tất cả
对|duì|Đúng vậy, chính xác
对不起|duìbùqǐ|xin lỗi, thứ lỗi cho tôi.
多|duō|nhiều, rất nhiều / bao nhiêu, bao nhiêu / hơn
多少|duōshǎo|bao nhiêu, giá bao nhiêu
二|èr|hai
儿子|érzi|con trai
分|fēn|phút
高|gāo|cao
个|ge|Bộ phân loại dành cho người hoặc vật thể nói chung
哥哥/哥|gēge/gē|anh trai
给|gěi|cho/cho, vì
工作|gōngzuò|công việc, nhiệm vụ
国|guó|quốc gia, đất nước
孩子|háizi|trẻ em, con cái, con trai, con gái
和|hàn/hé|và / (cùng với)
号|hào|số lượng / ngày / cấp độ
好|hǎo|tốt, tốt lắm / rất / chào hỏi / bạn có muốn không?
喝|hē|để uống
很|hěn|rất, khá
后|hòu|phía sau / sau
话|huà|từ
几|jǐ|bao nhiêu, bao nhiêu / cái nào / một vài, vài
家|jiā|Trang chủ / Gia đình / Phân loại cho cửa hàng, nhà hàng
叫|jiào|được đặt tên / để hỏi
脚|jiǎo|chân
姊姊/姐姐/姊/姐|jiějie/jiě|chị gái
今年|jīnnián|năm nay
今天|jīntiān|Hôm nay
就|jiù|chỉ, đơn thuần, chính xác, chính xác
久|jiǔ|lâu rồi
九|jiǔ|chín
咖啡|kāfēi|cà phê
看|kàn|nhìn, xem, liếc nhìn / quan sát / đọc / ghé thăm
可能|kěnéng|có lẽ, có thể, có lẽ
可以|kěyǐ|được phép / có thể / có khả năng, có thể
块|kuài|đơn vị/bộ phận dùng để phân loại tiền và đơn vị tiền tệ.
来|lái|sắp tới
老|lǎo|cũ/lỗi thời
老师|lǎoshī|giáo viên
冷|lěng|lạnh, mát
两|liǎng|hai, cả hai, cặp
六|liù|sáu
路|lù|đường, phố
吗|ma|hạt nghi vấn cuối cùng
买|mǎi|để mua
妈妈/妈|māma/ma|mẹ
没|méi|không có / không tồn tại / chưa từng có
没关系|méiguānxi|Không sao đâu. Cũng được thôi. Không vấn đề gì cả…
妹妹/妹|mèimei/mèi|em gái
没有|méiyǒu|không có / không tồn tại
们|men|hậu tố danh từ chỉ số nhiều
名字|míngzi|tên
明天|míngtiān|Ngày mai
拿|ná|để giữ / để lấy
哪|nǎ|cái mà
哪里/哪里/哪儿|nǎlǐ/nǎlǐ/nǎr|Ở đâu
那/那里/那里/那儿|nà/nàlǐ/nàr|ở đó
难|nán|khó khăn / tồi tệ
呢|ne|hạt cuối (dùng cho truy vấn)
你|nǐ|Bạn
你|nǐ|bạn (nữ)
你们|nǐmen|các bạn (số nhiều)
年|nián|năm
您|nín|kính ngữ dùng để chỉ "bạn"
女儿|nǚ'ér|con gái
朋友|péngyǒu|bạn bè
七|qī|bảy
前|qián|trước mặt / phía trước / trước đó
钱|qián|tiền bạc
千|qiān|nghìn
请|qǐng|làm ơn / đứng / mời / yêu cầu, hỏi
请问|qǐngwèn|Tôi có thể hỏi...?
去|qù|đi
去年|qùnián|năm ngoái
热|rè|nóng
人|rén|người, mọi người / con người
日|rì|ngày
容易|róngyì|dễ
三|sān|ba
上|shàng|trên, phía trên / trong (cây, xe) / trước đó / lên đến / để lên, để vào
上午|shàngwǔ|buổi sáng
少|shǎo|ít hơn, một chút, một vài / thiếu, ngắn
谁|shéi|ai, người nào
什么/甚么|shénme|Gì
十|shí|mười
是|shì|là / vâng
时候|shíhòu|thời gian, giai đoạn
时间|shíjiān|thời gian / khoảng thời gian / thời gian rảnh rỗi, thời gian rảnh
手机|shǒujī|điện thoại di động
书|shū|sách
水|shuǐ|Nước
睡觉|shuìjiào|ngủ
说|shuō|nói, kể, trò chuyện, phát biểu
四|sì|bốn
岁|suì|bộ phân loại theo tuổi
她|tā|cô ấy, của cô ấy (đối tượng)
他|tā|anh ấy, anh ấy
他们|tāmen|họ, bọn họ
太|tài|quá, cực kỳ
太太|tàitai|vợ / Bà, quý bà
台湾|Táiwān|臺灣 [Táiwān] Đài Loan<br> 台灣 [Táiwān] biến thể của 臺灣|台湾[Tai2 wan1]
台湾人|táiwānrén|Đài Loan
天|tiān|ngày(s)
听|tīng|để lắng nghe, để nghe
同学|tóngxué|bạn cùng lớp
外|wài|bên ngoài
晚安|wǎn'ān|Chúc ngủ ngon
晚上|wǎnshàng|vào ban đêm
位|wèi|bộ phân loại dành cho con người
问|wèn|hỏi (về)
问题|wèntí|câu hỏi / vấn đề
我|wǒ|Tôi, tôi
我们|wǒmen|chúng ta, chúng tôi
五|wǔ|năm
想|xiǎng|nghĩ / muốn / nhớ
先生|xiānshēng|Ông (Mr.) (dạng kính ngữ) / chồng
现在|xiànzài|Hiện nay
小|xiǎo|nhỏ, bé, trẻ
小孩/小孩子|xiǎohái/xiǎoháizi|trẻ em, con cái, con trai, con gái
小姐|xiǎojiě|Cô, quý bà/cô gái trẻ
小时|xiǎoshí|giờ
下午|xiàwǔ|buổi chiều
写|xiě|để viết
谢谢|xièxie|Cảm ơn, Cảm ơn bạn.
喜欢|xǐhuān|thích, yêu
新|xīn|mới
姓名|xìngmíng|tên, họ và tên gọi
星期天/星期日|Xīngqítiān/Xīngqírì|Chủ nhật
星期一|Xīngqíyī|Thứ hai
学|xué|để học tập, để nghiên cứu
学生|xuéshēng|học sinh
学校|xuéxiào|trường học
要|yào|phải, nên / muốn / sẽ / muốn / tốn kém, cần
也|yě|Mà còn
一|yī|một
